そこ,そこ,there,Pronoun,JLPT4
会う,あう,meet,Verb,JLPT4
仕事,しごと,work/job,Noun,JLPT4
車,くるま,car/automobile,Noun,JLPT4
電車,でんしゃ,train,Noun,JLPT4
駅,えき,railway station,Noun,JLPT4
道,みち,road/street,Noun,JLPT4
ここ,ここ,here,Pronoun,JLPT4
歩く,あるく,walk/go on foot,Verb,JLPT4
走る,はしる,run,Verb,JLPT4
近く,ちかく,near/close to,Adverb,JLPT4
近い,ちかい,near/soon,Adjective,JLPT4
近く,ちかく,vicinity/nearby,Noun,JLPT4
遠い,とおい,far/distant,Adjective,JLPT4
長い,ながい,long,Adjective,JLPT4
短い,みじかい,short/brief,Adjective,JLPT4
広い,ひろい,wide/big,Adjective,JLPT4
全部,ぜんぶ,all/wholly,Adverb,JLPT4
国,くに,country,Noun,JLPT4
白い,しろい,white/blank,Adjective,JLPT4
赤い,あかい,red,Adjective,JLPT4
部屋,へや,room,Noun,JLPT4
とても,とても,very,Adverb,JLPT4
作る,つくる,make/create,Verb,JLPT4
使う,つかう,use,Verb,JLPT4
消す,けす,switch off/turn off,Verb,JLPT4
売る,うる,sell,Verb,JLPT4
店,みせ,shop/store,Noun,JLPT4
春,はる,spring,Noun,JLPT4
夏,なつ,summer,Noun,JLPT4
秋,あき,autumn/fall,Noun,JLPT4
冬,ふゆ,winter,Noun,JLPT4
みんな,みんな,all/everybody,Noun,JLPT4
暑い,あつい,hot/warm (temperature of the air),Adjective,JLPT4
熱い,あつい,hot (things/touch),Adjective,JLPT4
寒い,さむい,cold (temperature of the air),Adjective,JLPT4
暖かい,あたたかい,warm,Adjective,JLPT4
新しい,あたらしい,new,Adjective,JLPT4
古い,ふるい,old,Adjective,JLPT4
悪い,わるい,bad,Adjective,JLPT4
いつも,いつも,always,Adverb,JLPT4
忘れる,わすれる,forget/leave behind,Verb,JLPT4
知る,しる,know,Verb,JLPT4
住む,すむ,live/reside,Verb,JLPT4
名前,なまえ,name,Noun,JLPT4
食べ物,たべもの,food,Noun,JLPT4
いつ,いつ,when,Noun,JLPT4
